,name,z,log_bh,log_lbol,log_edd_ratio,m_app_bol,m_app_lim,M_bol,M_abs_lim,dist,L_L
10206,SDSS J155958.04+333707.5,3.062,8.85,46.195,-0.755,20.324517419364057,22.566867441044153,-26.742350021680096,-25.367117812967837,25904.39705560127,0.638617145328175
10207,SDSS J160002.72+462603.1,3.035,8.56,46.419,-0.241,19.74145102977444,22.543801051454523,-27.302350021680084,-25.344051423378207,25630.68482847355,0.6385808381015171
10208,SDSS J160008.96+030936.1,3.237,8.437999999999999,46.447,-0.091,19.839049870895103,22.7113998925752,-27.3723500216801,-25.511650264498886,27687.259968333445,0.6388377885223698
10209,SDSS J160012.69+472811.7,3.258,8.945,46.429,-0.616,19.90084203710467,22.728192058784767,-27.327350021680097,-25.528442430708452,27902.19771218635,0.6388626732326097
10210,SDSS J160013.29+203329.0,3.167,9.4,46.364,-1.136,19.989741304197487,22.654591325877576,-27.16485002168009,-25.45484169780126,26972.31761911742,0.6387524566299572
10211,SDSS J160021.55+212357.4,3.07,8.782,46.144,-0.738,20.458811075406054,22.573661097086145,-26.61485002168009,-25.37391146900983,25985.568312406675,0.6386277804128877
10212,SDSS J160023.52+213956.5,3.4210000000000003,8.305,46.118,-0.287,20.804952301834376,22.854802323514477,-26.5498500216801,-25.65505269543816,29577.432009178647,0.6390454394750387
10213,SDSS J160024.87+055334.9,3.353,8.887,46.466,-0.521,19.882917530554742,22.80276755223484,-27.419850021680098,-25.603017924158525,28877.0955877275,0.63897135322006
10214,SDSS J160025.08+355343.7,3.079,8.786,46.17100000000001,-0.715,20.398931844426432,22.58128186610654,-26.682350021680108,-25.381532238030225,26076.924717638325,0.6386396788415458
10215,SDSS J160029.43+242258.3,3.105,8.631,45.948,-0.7829999999999999,20.978317227623684,22.60316724930378,-26.124850021680096,-25.403417621227465,26341.072269041968,0.6386736647209876
10216,SDSS J160032.43+094737.0,3.402,9.036,46.387,-0.7490000000000001,20.11802293228169,22.840372953961783,-27.222350021680093,-25.640623325885468,29381.54241457058,0.6390250369955857
10217,SDSS J160038.28+043321.0,3.039,8.808,46.16,-0.748,20.39238178080456,22.547231802484642,-26.654850021680083,-25.347482174408327,25671.211246268034,0.6385862576475425
10218,SDSS J160046.28+420620.7,3.1210000000000004,8.073,46.128,-0.045,20.541690097053305,22.616540118733397,-26.574850021680092,-25.416790490657082,26503.792559843285,0.6386942977313848
10219,SDSS J160046.50+093211.9,3.0380000000000003,9.069,46.442,-0.727,19.686524535886534,22.54637455756663,-27.359850021680096,-25.346624929490314,25661.078871555594,0.6385849040986131
10220,SDSS J160050.20+471920.7,3.386,8.408999999999999,46.265,-0.244,20.41080630168835,22.828156323368443,-26.917350021680093,-25.628406695292128,29216.706961284246,0.6390076784039092
10221,SDSS J160052.71+611026.5,3.005,8.478,46.399,-0.179,19.765568714020727,22.51791873570082,-27.252350021680094,-25.318169107624506,25326.999811836937,0.6385397317378003
10222,SDSS J160055.51+612137.2,3.0860000000000003,8.056000000000001,46.26,0.104,20.182343021194217,22.587193042874308,-26.90485002168009,-25.387443414797993,26148.007964373854,0.6386488852065804
10223,SDSS J160059.93+274312.5,3.127,8.127,46.278,0.051,20.1716864456066,22.621536467286692,-26.949850021680092,-25.421786839210377,26564.845441418543,0.6387019806879315
10224,SDSS J160100.75+043425.6,3.382,8.946,46.257,-0.789,20.42774270178023,22.82509272346032,-26.89735002168009,-25.625343095384004,29175.515929285502,0.6390033130983801
10225,SDSS J160102.02+211153.8,3.856,8.891,46.276,-0.715,20.719154621966595,23.1640046436467,-26.944850021680104,-25.964255015570384,34103.655195184634,0.639457562120006
10226,SDSS J160102.18+170919.7,3.752,8.627,46.304,-0.423,20.578680623403287,23.093530645083383,-27.014850021680097,-25.89378101700707,33014.60678266322,0.6393677223896663
10227,SDSS J160111.03+401200.2,3.017,8.95,46.172,-0.878,20.34345392003548,22.528303941715563,-26.684850021680084,-25.32855431363925,25448.4179257124,0.6385562723557446
10228,SDSS J160115.82+295753.5,3.047,8.095,45.849,-0.346,21.176729140389824,22.55407916206991,-25.877350021680087,-25.354329533993596,25752.28869904743,0.6385970540635144
10229,SDSS J160116.49+320500.8,3.015,8.802999999999997,46.44300000000001,-0.46,19.664226054658684,22.526576076338806,-27.362350021680122,-25.32682644826249,25428.17638343661,0.6385535247270857
10230,SDSS J160118.33+192511.0,3.0460000000000003,8.511000000000001,46.043,-0.568,20.69087424913869,22.553224270818784,-26.362350021680093,-25.35347464274247,25742.15222522757,0.6385957076120818
10231,SDSS J160128.12+042725.3,3.013,8.846,46.45399999999999,-0.4920000000000001,19.634996990525604,22.52484701220568,-27.389850021680076,-25.325097384129364,25407.936914783426,0.6385507734517322
10232,SDSS J160131.00+110420.5,3.237,8.425,46.177,-0.348,20.514049870895107,22.7113998925752,-26.697350021680094,-25.511650264498886,27687.259968333445,0.6388377885223698
10233,SDSS J160135.61+341435.2,3.008,9.447,46.111,-1.436,20.488169075007523,22.52051909668761,-26.532350021680088,-25.320769468611296,25357.34732687164,0.6385438792613412
10234,SDSS J160201.66+080529.9,3.3680000000000003,8.704,46.48,-0.324,19.85949015523849,22.81434017691857,-27.45485002168008,-25.614590548842255,29031.403728943937,0.6389879528919021
10235,SDSS J160208.73+154711.6,3.278,8.22,46.265,-0.055,20.326729610003767,22.74407963168386,-26.917350021680093,-25.544330003607545,28107.092720599623,0.6388860765987318
10236,SDSS J160210.39+371636.1,3.151,8.889,46.15600000000001,-0.833,20.496572054080445,22.641422075760573,-26.644850021680128,-25.441672447684258,26809.23460250682,0.6387324199970239
10237,SDSS J160211.42+202513.6,3.2960000000000003,8.946,46.426,-0.62,19.938441935623473,22.75829195730357,-27.319850021680097,-25.558542329227254,28291.657474320975,0.6389068968461058
10238,SDSS J160211.81+421622.2,3.158,9.502,46.396,-1.206,19.902342188389017,22.64719221006911,-27.244850021680094,-25.447442581992796,26880.568041653773,0.6387412110000165
10239,SDSS J160212.82+102921.7,3.659,8.906,46.456,-0.55,20.133905582102454,23.028755603782553,-27.3948500216801,-25.829005975706238,32044.324481114247,0.6392830603695263
10240,SDSS J160219.68+065034.7,3.157,8.579,46.104,-0.575,20.631518703091146,22.646368724771236,-26.51485002168009,-25.44661909669492,26870.376083535924,0.6387399575286529
10241,SDSS J160225.27+052726.4,3.705,8.981,46.216,-0.865,20.76615768393409,23.061007705614188,-26.794850021680098,-25.861258077537872,32523.819422260098,0.6393254673291711
10242,SDSS J160227.45+154447.9,3.252,8.459,45.997,-0.562,20.97605585854385,22.723405880223943,-26.24735002168009,-25.523656252147628,27840.765739252136,0.6388555961024615
10243,SDSS J160229.67+315022.9,3.016,9.582,46.25,-1.432,20.14759013709064,22.52744015877073,-26.87985002168009,-25.327690530694415,25438.296895482203,0.6385548989967987
10244,SDSS J160236.56+423306.5,3.889,8.405,46.389,-0.1159999999999999,20.45860107532704,23.18595109700714,-27.227350021680103,-25.986201468930826,34450.07878139416,0.6394850648995094
10245,SDSS J160236.84+393144.3,3.047,8.77,46.279,-0.591,20.101729140389807,22.55407916206991,-26.952350021680104,-25.354329533993596,25752.28869904743,0.6385970540635144
10246,SDSS J160236.86+113008.8,3.188,8.082,46.074,-0.108,20.731920711675087,22.671770733355174,-26.439850021680087,-25.47202110527886,27186.55300382187,0.6387784495700819
10247,SDSS J160245.10+220134.6,3.075,8.626,46.374,-0.352,19.888047715800397,22.577897737480498,-27.1898500216801,-25.378148109404183,26036.316815828883,0.6386343992474417
10248,SDSS J160310.52+195256.7,3.614,8.469,46.31800000000001,-0.251,20.446941071260763,22.996791092940885,-27.049850021680122,-25.79704146486457,31576.080355297454,0.6392405309096849
10249,SDSS J160311.62+065934.4,3.23,8.977,46.456,-0.621,19.810927140005496,22.705777161685596,-27.3948500216801,-25.50602753360928,27615.66033318217,0.6388294217298378
10250,SDSS J160312.28+310718.5,3.324,9.15,46.44600000000001,-0.804,19.910389337265638,22.78023935894576,-27.369850021680122,-25.580489730869445,28579.05549707047,0.6389388358034664
10251,SDSS J160316.57+231853.0,3.198,8.3,46.25100000000001,-0.149,20.29755981656544,22.679909838245564,-26.882350021680125,-25.48016021016925,27288.644752128836,0.6387907072071684
10252,SDSS J160318.72+273301.7,3.085,9.451,46.492,-1.0590000000000002,19.601499426386123,22.586349448066205,-27.48485002168008,-25.38659981998989,26137.851703809574,0.6386475725688191
10253,SDSS J160321.49+394312.8,3.178,8.043,46.028,-0.115,20.83875485339607,22.66360487507616,-26.324850021680092,-25.463855246999845,27084.509505386523,0.6387661148114525
10254,SDSS J160322.51+245532.4,3.156,9.188,46.487,-0.8009999999999999,19.673194944885818,22.64554496656591,-27.472350021680093,-25.445795338489596,26860.184614022768,0.6387387032631467
10255,SDSS J160329.35+290925.7,3.337,8.742,46.169,-0.6729999999999999,20.613013518487904,22.790363540167988,-26.677350021680084,-25.590613912091673,28712.612381071427,0.6389534824523685
10256,SDSS J160335.22+533348.1,3.167,8.363,46.479,0.016,19.702241304197486,22.654591325877576,-27.45235002168009,-25.45484169780126,26972.31761911742,0.6387524566299572
10257,SDSS J160349.79+250015.1,3.232,8.491,46.15,-0.441,20.577534934568973,22.707384956249065,-26.62985002168009,-25.50763532817275,27636.11500245612,0.6388318159392985
10258,SDSS J160352.05+480647.8,3.06,8.549,46.309,-0.34,20.03781610509851,22.565166126778596,-27.027350021680085,-25.36541649870228,25884.109319088042,0.6386144778705183
10259,SDSS J160358.07+270218.2,3.2880000000000003,9.091,46.228,-0.963,20.42713539951638,22.75198542119648,-26.8248500216801,-25.552235793120165,28209.61014268093,0.6388976715393964
10260,SDSS J160407.30+420949.0,3.23,8.981,46.212,-0.8690000000000001,20.420927140005496,22.705777161685596,-26.7848500216801,-25.50602753360928,27615.66033318217,0.6388294217298378
10261,SDSS J160410.59+134144.7,3.294,8.76,46.219,-0.6409999999999999,20.454366804578147,22.756716826258245,-26.8023500216801,-25.55696719818193,28271.142864389272,0.6389045947194197
10262,SDSS J160415.95+065134.8,3.147,9.082,46.479,-0.703,19.685768811101937,22.638118832782027,-27.45235002168009,-25.43836920470571,26768.48340854217,0.6387273790123065
10263,SDSS J160417.71+164307.4,3.631,8.845,46.4,-0.545,20.254065288549917,23.00891531023001,-27.25485002168009,-25.809165682153694,31752.875608314724,0.6392567214672681
10264,SDSS J160421.60+394153.4,3.04,8.852,46.232,-0.72,20.21323873082537,22.54808875250546,-26.83485002168009,-25.348339124429145,25681.344134127514,0.6385876103062202
10265,SDSS J160423.65+261500.7,3.749,8.172,46.269,-0.003,20.6641174725866,23.09146749426669,-26.92735002168009,-25.891717866190376,32983.253971208105,0.6393650569072795
10266,SDSS J160440.13+190658.6,3.025,7.923999999999999,46.182,0.158,20.32535342622652,22.535203447906618,-26.709850021680097,-25.335453819830303,25529.404795734717,0.638567226548044
10267,SDSS J160444.25+222613.8,3.031,8.7,46.218,-0.5820000000000001,20.240515547733352,22.540365569413453,-26.7998500216801,-25.340615941337138,25590.166634953057,0.6385754042550664
10268,SDSS J160450.07+231649.1,3.184,8.901,46.148,-0.853,20.543657588346857,22.66850761002696,-26.624850021680103,-25.468757981950645,27145.729803544553,0.6387735249618942
10269,SDSS J160454.51+243550.0,3.17,9.128,45.92100000000001,-1.307,21.099702789030545,22.657052810710653,-26.057350021680108,-25.457303182634337,27002.90957789586,0.6387561909867363
10270,SDSS J160459.55+443640.5,3.3510000000000004,8.94,46.345,-0.695,20.18387042096726,22.80122044264735,-27.11735002168009,-25.601470814571034,28856.52884239223,0.6389691287047086
10271,SDSS J160505.72+210737.4,3.0860000000000003,8.276,45.962,-0.414,20.927343021194208,22.587193042874308,-26.1598500216801,-25.387443414797993,26148.007964373854,0.6386488852065804
10272,SDSS J160507.93+215115.8,3.654,8.807,46.44300000000001,-0.4639999999999999,20.162874359010218,23.02522438069034,-27.362350021680122,-25.825474752614024,31992.256722051883,0.6392783865938354
10273,SDSS J160509.91+085629.5,3.602,9.229,46.46,-0.8690000000000001,20.083346787225416,22.988196808905514,-27.404850021680097,-25.7884471808292,31451.355083006496,0.6392290102856255
10274,SDSS J160510.63+195444.5,3.96,8.829,46.44600000000001,-0.483,20.3626650744479,23.232515096128022,-27.369850021680122,-26.032765468051707,35196.78694052902,0.6395426837686529
10275,SDSS J160512.18+223029.2,3.083,8.881,46.17,-0.8109999999999999,20.404811378509685,22.58466140018978,-26.679850021680096,-25.384911772113465,26117.540692871044,0.6386449447393695
10276,SDSS J160530.17+092753.8,3.2710000000000004,8.448,46.48,-0.068,19.783680525894646,22.738530547574726,-27.45485002168008,-25.53878091949841,28035.35821192822,0.6388779179673408
10277,SDSS J160530.57+214716.0,3.99,9.341,46.40600000000001,-1.035,20.48207776077058,23.2519277824507,-27.26985002168012,-26.052178154374385,35512.85241313788,0.6395664135903232
10278,SDSS J160536.05+231807.0,3.6010000000000004,8.914,46.271,-0.743,20.55512924395556,22.987479265635653,-26.932350021680094,-25.787729637559337,31440.96398624063,0.639228046768396
10279,SDSS J160537.97+265036.2,3.1260000000000003,8.666,46.265,-0.501,20.20335441756132,22.620704439241415,-26.917350021680093,-25.4209548111651,26554.668723353432,0.6387007022427826
10280,SDSS J160538.34+395229.1,3.242,9.301,46.44,-0.961,19.860558323448295,22.71540834512838,-27.354850021680086,-25.515658717052066,27738.416762069173,0.6388437426873023
10281,SDSS J160541.16+241711.7,3.1060000000000003,8.399,46.076,-0.423,20.659155141296417,22.604005162976513,-26.444850021680097,-25.404255534900198,26351.238552284565,0.6386749605102944
10282,SDSS J160550.30+043347.9,3.225,8.133,46.074,-0.159,20.76190309202746,22.701753113707547,-26.439850021680087,-25.50200348563123,27564.531965920578,0.6388234232174701
10283,SDSS J160555.00+423226.9,3.2960000000000003,8.253,46.39100000000001,0.038,20.025941935623443,22.75829195730357,-27.232350021680126,-25.558542329227254,28291.657474320975,0.6389068968461058
